Designator,Mid X,Mid Y,Rotation,Layer
KC_RBRC1,319.0875,-95.35445,0.0,top
KC_RCTL1,342.9,-152.50445,0.0,top
KC_RGUI1,319.0875,-152.50445,0.0,top
KC_RSFT1,321.468548,-133.45445,0.0,top
KC_S1,133.35,-114.40445,0.0,top
KC_SCLN1,285.75,-114.40445,0.0,top
KC_SLSH1,295.275,-133.45445,0.0,top
KC_SPC1,214.3125,-152.50445,0.0,top
KC_STEP1,83.34375,-114.40445,0.0,top
KC_T1,185.7375,-95.35445,0.0,top
KC_TAB1,85.725,-95.35445,0.0,top
KC_U1,223.8375,-95.35445,0.0,top
KC_V1,180.975,-133.45445,0.0,top
KC_W1,128.5875,-95.35445,0.0,top
KC_X1,142.875,-133.45445,0.0,top
KC_Y1,204.7875,-95.35445,0.0,top
KC_Z1,123.825,-133.45445,0.0,top
R1,105.667948,-107.561476,270.0,bottom
SW1,117.574188,-105.211668,270.0,bottom
SW2,123.229652,-105.211668,270.0,bottom
U1,100.11266,-107.725123,90.0,bottom
U2,96.738268,-95.686676,270.0,bottom
U3,112.846478,-87.76816,180.0,bottom
